Bottle #,defect,tilt,H offset,V offset,Capacity
1,None,0.177,0.021,0.066,300
2,None,0.481,0.034,0.070,300
3,None,0.220,0.019,0.058,300
4,damage,0.202,0.032,0.063,300
5,None,0.174,0.041,0.061,300
6,None,0.484,0.049,0.067,300
7,None,0.170,0.047,0.071,300
8,bump,0.271,0.021,0.064,300
9,damage,0.376,0.019,0.063,300
10,None,0.177,0.021,0.066,300
11,None,0.481,0.034,0.070,300
12,None,0.220,0.019,0.058,300
13,damage,0.202,0.032,0.063,300
14,None,0.174,0.041,0.061,300
15,None,0.484,0.049,0.067,300
16,None,0.170,0.047,0.071,300
17,bump,0.271,0.021,0.064,300
18,damage,0.376,0.019,0.063,300
19,None,0.177,0.021,0.066,300
20,None,0.481,0.034,0.070,300
21,None,0.220,0.019,0.058,300
22,damage,0.202,0.032,0.063,300
23,None,0.174,0.041,0.061,300
24,None,0.484,0.049,0.067,300
25,None,0.170,0.047,0.071,300
26,bump,0.271,0.021,0.064,300
27,damage,0.376,0.019,0.063,300
28,None,0.177,0.021,0.066,300
29,None,0.481,0.034,0.070,300
30,None,0.220,0.019,0.058,300
31,damage,0.202,0.032,0.063,300
32,None,0.174,0.041,0.061,300
33,None,0.484,0.049,0.067,300
34,None,0.170,0.047,0.071,300
35,bump,0.271,0.021,0.064,300
36,damage,0.376,0.019,0.063,300
37,None,0.177,0.021,0.066,300
38,None,0.481,0.034,0.070,300
39,None,0.220,0.019,0.058,300
40,damage,0.202,0.032,0.063,300
41,None,0.174,0.041,0.061,300
42,None,0.484,0.049,0.067,300
43,None,0.170,0.047,0.071,300
44,bump,0.271,0.021,0.064,300
45,damage,0.376,0.019,0.063,300
46,None,0.177,0.021,0.066,300
47,None,0.481,0.034,0.070,300
48,None,0.220,0.019,0.058,300
49,damage,0.202,0.032,0.063,300
50,None,0.174,0.041,0.061,300
51,None,0.484,0.049,0.067,300
52,None,0.170,0.047,0.071,300
53,bump,0.271,0.021,0.064,300
54,damage,0.376,0.019,0.063,300
55,None,0.177,0.021,0.066,300
56,None,0.481,0.034,0.070,300
